User;Treino;Exercícios;Séries;Repetições
2;A;Supino reto;4;12
2;A;Supino inclinado;4;12
2;A;Crossover;4;12
2;A;Tríceps corda;3;12
2;A;Tríceps testa;3;12
2;A;Paralela;3;12
2;A;Elevação lateral;3;12
2;A;Elevação frontal;3;12
2;A;Desenvolvimento com halteres;3;12
2;B;Puxada alta;4;12
2;B;Remada baixa;4;12
2;B;Remada Cerrote;4;12
2;B;Rosca Alternada;4;12
2;B;Rosca martelo;4;12
2;B;Rosca 21;4;12
2;C;Agachamento livre;4;12
2;C;Leg press;4;12
2;C;Cadeira flexora;4;12
2;C;Mesa flexora;4;12
2;C;Panturrilha em pé;4;20
2;C;Panturrilha em sentado;4;20
3;A;Supino reto;4;13
3;A;Supino inclinado;4;13
3;A;Crossover;4;13
3;A;Tríceps corda;3;13
3;A;Tríceps testa;3;13
3;A;Paralela;3;13
3;A;Elevação lateral;3;13
3;A;Elevação frontal;3;13
3;A;Desenvolvimento com halteres;3;13
3;B;Puxada alta;4;13
3;B;Remada baixa;4;13
3;B;Remada Cerrote;4;13
3;B;Rosca Alternada;4;13
3;B;Rosca martelo;4;13
3;B;Rosca 31;4;13
3;C;Agachamento livre;4;13
3;C;Leg press;4;13
3;C;Cadeira flexora;4;13
2;C;Test4;4;30
3;C;Mesa flexora;4;13
2;C;Test1;4;30
3;C;Panturrilha em pé;4;30
2;C;Teste;4;30
3;C;Panturrilha em sentado;4;30
2;C;Test2;4;30
